0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
212ºÅ,1,0,1.39,1,1,0,0,0,0,0,2,8,12,0
213ºÅ,0,0,8,1,1,0,0,0,0,0,3,30,30,0
214ºÅ,0,0,1.09,1,1,0,0,0,0,0,2,12,24,0
215ºÅ,0,0,40.64,0,0,0,0,0,0,1,30,86,0,2
216ºÅ,0,0,1.3,1,1,0,0,0,0,0,2,6,12,0
217ºÅ,1,0,1.2,1,1,0,0,0,0,0,2.5,10,12,0
218ºÅ,0,1,30,1,1,0,0,0,0,1,5,36,48,0
219ºÅ,0,0,6.66,1,1,0,0,0,0,1,5,22,24,0
220ºÅ,0,0,1.89,1,1,0,0,0,0,0,2,4,4,0
221ºÅ,0,1,25.69,1,1,0,0,0,0,1,5,36,36,0
222ºÅ,0,0,2.97,1,1,0,0,0,0,0,3,12,2,0
223ºÅ,0,0,12.54,1,1,0,0,0,0,0,3,24,36,0
224ºÅ,0,0,7.16,1,0,0,0,0,0,1,5,28,0,0
225ºÅ,1,0,6.63,1,1,0,0,0,0,0,2,30,0,0
226ºÅ,0,0,32.55,0,1,0,0,0,0,1,15,66,0,1
227ºÅ,0,1,4.66,1,1,0,0,0,0,0,2,6,6,0
228ºÅ,0,1,1.73,1,1,0,0,0,0,0,2,6,12,0
229ºÅ,1,1,0.5,1,1,0,0,0,0,0,0,0,0,0
230ºÅ,0,0,2.99,1,1,0,0,0,0,0,2,6,6,0
231ºÅ,1,0,0.6,1,1,0,0,0,0,0,2,4,4,0
232ºÅ,0,0,9.29,1,1,0,0,0,0,0,4,36,36,0
233ºÅ,0,0,7.04,1,1,0,0,0,0,0,3,30,36,0
234ºÅ,0,0,3.39,1,1,0,0,0,0,0,2,6,6,0
235ºÅ,0,0,3.55,1,1,0,0,0,0,0,2,6,6,0
236ºÅ,0,0,1.49,1,1,0,0,0,0,0,2,6,18,0
237ºÅ,0,0,20,0,0,0,0,0,0,1,5,66,0,1
238ºÅ,0,1,2.62,1,1,0,0,0,0,0,2,6,6,0
239ºÅ,0,0,1.6,1,1,0,0,0,0,0,2,6,6,0
240ºÅ,0,0,4.7,1,1,0,0,0,0,0,3,18,18,0
241ºÅ,0,0,5.4,1,1,0,0,0,0,0,3,18,18,0
242ºÅ,0,1,12.27,1,1,0,0,0,0,0,3,36,36,0
243ºÅ,0,0,2,1,1,0,0,0,0,0,2,5,5,0
244ºÅ,0,0,9.5,0,1,0,0,0,0,0,3,54,0,1
245ºÅ,0,1,19.47,0,1,0,0,0,0,1,10,42,0,1
246ºÅ,0,0,1.5,0.2,1,0,0,0,0,0,2,12,24,0
247ºÅ,0,1,1.69,0,1,0,0,0,0,0,3,10,0,0
248ºÅ,0,1,20.12,1,1,0,0,0,0,1,10,36,48,1
249ºÅ,0,0,14.9,0.4,0,1,0,0,0,1,15,72,0,1
250ºÅ,0,0,2.5,1,1,0,0,0,0,0,2,6,6,0
251ºÅ,0,1,2.2,1,1,0,0,0,0,0,2,6,6,0
252ºÅ,0,1,14.94,1,1,0,0,0,0,1,5,36,36,0
253ºÅ,0,0,4.87,1,1,0,0,0,0,0,2,16,24,0
254ºÅ,1,1,1.5,1,1,0,0,0,0,0,3,6,6,0
255ºÅ,0,1,4.64,1,1,0,0,0,0,0,2,10,12,0
256ºÅ,1,1,0.68,1,1,0,0,0,0,0,0,0,0,0
257ºÅ,0,0,3.84,1,1,0,0,0,0,0,3,16,18,0
258ºÅ,0,0,3.89,1,1,0,0,0,0,0,3,7,12,0
259ºÅ,0,0,5,1,1,0,0,0,0,1,5,12,0,0
260ºÅ,0,0,1.96,1,1,0,0,0,0,0,2,6,12,0
261ºÅ,0,0,1.92,1,1,0,0,0,0,0,2,6,6,0
262ºÅ,0,1,20.9,1,1,0,0,0,0,1,5,36,36,0
263ºÅ,0,1,8.41,1,1,0,0,0,0,0,2,36,36,0
264ºÅ,0,1,2.3,1,1,0,0,0,0,0,2,12,12,0
265ºÅ,0,0,3.8,0,1,0,0,0,0,0,2,18,0,0
266ºÅ,2,0,5.48,0,1,0,0,0,0,1,5,60,0,1
267ºÅ,0,0,2.72,0,0,1,0,0,0,0,2,15,0,0
268ºÅ,0,1,2,1,1,1,0,0,0,0,2,7,12,0
269ºÅ,0,0,6.5,1,1,0,0,0,0,0,4,20,0,0
270ºÅ,1,1,3.88,1,1,1,0,0,0,0,2.5,32,48,0
271ºÅ,0,0,2.83,1,1,0,0,0,0,0,2,8,12,0
272ºÅ,0,0,3.18,1,1,0,0,0,0,0,2.5,8,0,0
273ºÅ,0,0,5.48,1,1,0,0,0,0,0,2,30,30,0
274ºÅ,0,0,33.16,0,0,1,0,0,0,1,10,84,0,1
275ºÅ,0,0,4.5,0,1,0,0,0,0,0,2,24,0,0
276ºÅ,0,0,21.75,0.6,1,0,0,0,0,1,15,60,0,1
277ºÅ,1,0,1.5,0,1,0,0,0,0,0,2,15,0,0
278ºÅ,0,1,11.6,0,1,0,0,0,0,0,2,54,0,1
279ºÅ,0,0,7.89,1,1,0,0,0,0,1,5,24,0,0
280ºÅ,0,0,1.65,1,1,0,0,0,0,0,2.5,24,36,0
281ºÅ,0,0,4.89,0,1,0,0,0,0,1,5,30,0,0
282ºÅ,0,1,9.5,1,1,0,0,0,0,0,3,30,36,0
283ºÅ,0,1,1.5,1,1,0,0,0,0,0,2,6,12,0
284ºÅ,0,0,32.65,0,1,0,0,0,0,1,10,72,0,1
285ºÅ,0,0,13.71,0,1,0,0,0,0,1,5,60,0,1
286ºÅ,0,0,6.77,0,0,0,0,0,0,0,2,36,0,0
287ºÅ,0,0,1.83,1,1,0,0,0,0,0,2,5,5,0
288ºÅ,1,0,1.83,1,1,0,0,0,0,0,0,0,0,0
289ºÅ,0,0,1.15,1,1,0,0,0,0,0,2,5,5,0
290ºÅ,0,1,61,0,1,0,0,0,0,1,5,60,0,1
291ºÅ,0,1,32,0,1,0,0,0,0,0,2,36,36,0
292ºÅ,0,1,5.56,1,1,0,0,0,0,0,2,18,18,0
293ºÅ,0,1,1.49,0,1,0,0,0,0,0,2,5,0,0
294ºÅ,1,0,0.7,1,1,1,0,0,0,0,2,6,0,0
295ºÅ,0,0,20.39,0,0,0,0,0,0,0,5,66,0,1
296ºÅ,0,0,9.44,1,1,0,0,0,0,0,2,36,48,0
297ºÅ,1,0,0.78,1,1,0,0,0,0,0,2,3,6,0
298ºÅ,0,0,3.93,1,1,0,0,0,0,0,2,24,24,0
299ºÅ,0,0,9.81,0,0,0,0,0,0,0,3,54,0,1
300ºÅ,0,1,1.49,0,1,0,0,0,0,0,2,6,0,0
301ºÅ,0,0,8,1,1,0,0,0,0,0,2,18,24,0
302ºÅ,1,0,0.5,1,1,0,0,0,0,0,2,12,12,0
